"","SampleNo","Amaranthus_retroflexus","Arenaria_serpyllifolia_agg.","Bellis_perennis","Brassica_napus","Bromus_hordeaceus","Capsella_bursa.pastoris","Cerastium_fontanum","Cerastium_glomeratum","Cerastium_holosteoides","Chenopodium_album","Cichorium_intybus","Cirsium_arvense","Convolvulus_arvensis","Crepis_capillaris","Dactylis_glomerata","Digitaria_sanguinalis","Echinocloa_crus.gali","Elymus_repens","Eragrostis_minor","Erigeron_canadensis","Erodium_spec.","Euphorbia_peplus","Festuca_arundinacea","Festuca_rubra","Galinsoga_parviflora","Geranium_molle","Geranium_pusillum","Hordeum_murinum","Hypericum_perforatum","Hypochaeris_radicata","Lamium_purpurea","Lolium_multiflorum_agg.","Lolium_perenne","Lotus_corniculatus","Matricaria_discoidea","Medicargo_x_varia","Persicaria_laxiflora","Phleum_pratense","Plantago_intermedia","Plantago_lanceolata","Poa_trivialis","Polygonum_aviculare","Portulaca_oleracea","Rumex_chrispus","Rumex_obtursifolia","Rumex_thyrsiflorus","Scorzoneroides_autumnalis","Silene_latifolia","Sonchus_oleraceus","Spergula_arvensis","Stellaria_media","Taraxacum_sec._ruderalia","Trifolium_hybridum","Trifolium_pratense","Trifolium_repens","Vicia_villosa","grass_sum","herb_sum","legume_sum","all_abundance","grass_prop","herb_prop","legume_prop","time","W","N","D","HM","MP","S","A","I","AF","SF","Lv","remark","richness_all","diversity_all","diversity_grass","diversity_herb","diversity_legume","shannon_all","evenness_all","simpson_all","shannon_grass","evenness_grass","simpson_grass","shannon_herb","evenness_herb","simpson_herb","shannon_legume","evenness_legume","simpson_legume","biomass_oct","biomass_jun","biomass"
"1",1,0,0,0,0,0,5,0,0,0,1,50,0,0,0,1,1,5,0,1,0,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,1,0,10,0,0,0,0,0,0,0,0,0,0,50,30,0,28,81,80,189,0.148148148148148,0.428571428571429,0.423280423280423,0,0,1,0,0,0,0,0,0,0,0,1,"N",17,0.822205425380029,0.744897959183674,0.580704160951075,0.46875,2.06027843358505,0.727187890000341,0.822205425380029,1.69244526296817,0.7702650336362,0.744897959183674,1.21238457126961,0.676644712692347,0.580704160951075,0.661563238157982,0.954434002924965,0.46875,513.2647,0,513.2647
"2",2,0,0,0,0,0,1,0,0,0,5,20,0,0,0,0,1,5,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,5,0,20,1,0,1,0,0,0,0,0,0,1,0,0,0,60,50,0,31,53,110,194,0.15979381443299,0.27319587628866,0.56701030927835,0,0,0,0,0,0,0,0,1,0,0,1,"I",17,0.809331491125518,0.767950052029136,0.696333214667141,0.495867768595041,2.01452855826332,0.711040191339487,0.809331491125518,1.69332757597007,0.814318432150848,0.767950052029136,1.40569436512758,0.722384004117563,0.696333214667141,0.689009238476659,0.994030211476957,0.495867768595041,554.24705,0,554.24705
"3",3,0,0,0,10,0,0,0,0,0,1,60,0,0,0,1,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,1,0,1,0,0,0,0,0,0,0,0,0,0,50,50,0,23,97,100,220,0.104545454545455,0.440909090909091,0.454545454545455,0,0,0,0,0,0,0,0,0,1,0,1,"AF",16,0.807809917355372,0.669187145557656,0.561377404612605,0.5,1.91309695726619,0.690003873246924,0.807809917355372,1.48914337420626,0.716126587046676,0.669187145557656,1.10410933214754,0.616215151145942,0.561377404612605,0.693147180559945,1,0.5,645.98901,0,645.98901
"4",4,0,0,0,0,0,0,0,0,0,1,60,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,10,0,0,0,0,1,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,50,30,0,27,81,80,188,0.143617021276596,0.430851063829787,0.425531914893617,0,0,0,0,0,0,0,0,0,1,0,1,"AF",14,0.790629244001811,0.65843621399177,0.428288370675202,0.46875,1.85738501476465,0.703806239417859,0.790629244001811,1.3386246168415,0.687916971650188,0.65843621399177,0.878635527664939,0.545926948083445,0.428288370675202,0.661563238157982,0.954434002924965,0.46875,708.11803,0,708.11803
"5",5,0,0,0,0,0,0,0,0,0,1,60,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,50,30,0,22,76,80,178,0.123595505617978,0.426966292134831,0.449438202247191,0,1,1,1,1,1,1,1,1,1,1,10,"10",14,0.771177881580609,0.640495867768595,0.363573407202216,0.46875,1.78119150815312,0.674934753468502,0.771177881580609,1.3698574824662,0.703967489522181,0.640495867768595,0.780703834762153,0.48507856608238,0.363573407202216,0.661563238157982,0.954434002924965,0.46875,696.55999,0,696.55999
"6",6,0,0,0,0,0,0,0,0,0,1,60,0,0,0,1,1,5,0,0,1,0,0,5,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,60,40,0,30,79,100,209,0.143540669856459,0.37799043062201,0.478468899521531,0,0,1,0,0,0,0,0,0,0,0,1,"N",16,0.790503880405668,0.753333333333333,0.402499599423169,0.48,1.87864997154716,0.677579749379322,0.790503880405668,1.6025157655299,0.82353019552721,0.753333333333333,0.866489444550097,0.445287489235181,0.402499599423169,0.673011667009257,0.970950594454669,0.48,686.2647,0,686.2647
"7",7,0,0,0,0,1,0,0,0,0,5,70,0,0,0,1,0,10,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,1,0,0,50,40,0,32,102,90,224,0.142857142857143,0.455357142857143,0.401785714285714,0,1,0,0,0,0,0,0,0,0,0,1,"W",16,0.806162308673469,0.732421875,0.48558246828143,0.493827160493827,1.94087846138893,0.700023932803504,0.806162308673469,1.56286339375076,0.751578422583705,0.732421875,0.964152308001173,0.538103648709366,0.48558246828143,0.686961576597323,0.991076059838222,0.493827160493827,740.40666,0,740.40666
"8",8,0,0,0,0,0,0,0,0,0,10,90,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,40,30,0,22,111,70,203,0.108374384236453,0.54679802955665,0.344827586206897,0,0,0,1,0,0,0,0,0,0,0,1,"D",14,0.73488800990075,0.640495867768595,0.33033033033033,0.489795918367347,1.70946080979029,0.647754329020017,0.73488800990075,1.3698574824662,0.703967489522181,0.640495867768595,0.708601369023998,0.440278785251377,0.33033033033033,0.682908104700472,0.985228136034252,0.489795918367347,525.78235,0,525.78235
"9",9,0,0,0,0,0,0,0,0,0,10,80,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,40,30,0,22,110,70,202,0.108910891089109,0.544554455445545,0.346534653465347,0,1,0,0,0,0,0,0,0,0,0,1,"W",14,0.771492990883247,0.640495867768595,0.450413223140496,0.489795918367347,1.84210244625179,0.698015319932572,0.771492990883247,1.3698574824662,0.703967489522181,0.640495867768595,0.948587531627576,0.589390571887884,0.450413223140496,0.682908104700472,0.985228136034252,0.489795918367347,758.80666,0,758.80666
"10",10,5,0,0,0,0,0,0,0,0,5,90,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,0,22,125,70,217,0.101382488479263,0.576036866359447,0.32258064516129,0,1,1,1,1,1,1,1,1,1,1,10,"10",14,0.761111936970418,0.640495867768595,0.4512,0.489795918367347,1.80157360487058,0.682658002406195,0.761111936970418,1.3698574824662,0.703967489522181,0.640495867768595,0.91600106140378,0.569143459543852,0.4512,0.682908104700472,0.985228136034252,0.489795918367347,803.43568,0,803.43568
