"year","response","response_label","interaction_model","slope","ci_low","ci_high","n"
2021,"richness_all","Plant richness","multiplicative",-0.0106887045048397,-0.0179278976002958,-0.00261642125859363,60
2021,"biomass","Plant biomass","dominative",-0.0100106442923766,-0.0312789696980153,0.0112719046048575,60
2021,"shannon_all","Shannon diversity","multiplicative",0.00153034769330689,-0.00348228857381535,0.00691211486155364,60
2021,"evenness_all","Plant evenness","dominative",-0.00224403524961605,-0.00660828262260759,0.00259250612674939,60
2022,"richness_all","Plant richness","multiplicative",0.0151286741930124,-0.00547832351395763,0.0351160148865685,60
2022,"biomass","Plant biomass","dominative",-0.122206304786488,-0.167610730407784,-0.0797099639031753,59
2022,"shannon_all","Shannon diversity","multiplicative",0.0251681347511137,0.0142906964587235,0.0362436504862847,60
2022,"evenness_all","Plant evenness","dominative",0.0164599113223726,0.00896923391872332,0.0239076415902607,60
2023,"richness_all","Plant richness","multiplicative",-0.0404878973271176,-0.0527152736152422,-0.0271965262411631,60
2023,"biomass","Plant biomass","dominative",0.015570574707484,-0.0131360180298726,0.0472722585360574,60
2023,"shannon_all","Shannon diversity","multiplicative",-0.0075423175245422,-0.0227848843160979,0.00752141188477072,60
2023,"evenness_all","Plant evenness","dominative",-0.0024064958764966,-0.0118921205246774,0.00776368043471446,60
2024,"richness_all","Plant richness","multiplicative",-0.0541209040334022,-0.077581982376281,-0.0326406579733785,60
2024,"biomass","Plant biomass","dominative",0.00189803622598119,-0.0175040429979733,0.0219211872546174,60
2024,"shannon_all","Shannon diversity","multiplicative",0.0250164233534113,-0.00397832430825426,0.0563472043832774,60
2024,"evenness_all","Plant evenness","dominative",0.00502543890581446,-0.014066794698686,0.0238693634526798,60
2025,"richness_all","Plant richness","multiplicative",-0.0693431528899266,-0.0918651231025253,-0.0457569564315902,60
2025,"biomass","Plant biomass","dominative",-0.0211246373683972,-0.0573512044501022,0.00841662688548423,60
2025,"shannon_all","Shannon diversity","multiplicative",-0.064851849237575,-0.0912959852755775,-0.0373363924460361,60
2025,"evenness_all","Plant evenness","dominative",-0.0292174981443843,-0.0518697192353379,-0.00809220773169855,59
