"year","test","term","Df","SumOfSqs","R2","F","Pr(>F)"
"2021","Lv","Lv",6,0.120675213696674,0.039345205797112,1.00343801732556,0.436
"2021","Lv","Residual",147,2.9464129169119,0.960654794202887,NA,NA
"2021","Lv","Total",153,3.06708813060857,1,NA,NA
"2022","Lv","Lv",6,2.14694838585612,0.209826425752349,6.50584580207865,0.001
"2022","Lv","Residual",147,8.08507257221941,0.79017357424765,NA,NA
"2022","Lv","Total",153,10.2320209580755,1,NA,NA
"2023","Lv","Lv",6,3.44880311735017,0.292835481461963,10.1454033789058,0.001
"2023","Lv","Residual",147,8.32846888579725,0.707164518538037,NA,NA
"2023","Lv","Total",153,11.7772720031474,1,NA,NA
"2024","Lv","Lv",6,2.81472289821124,0.242142675605486,7.82798471608642,0.001
"2024","Lv","Residual",147,8.80951017500865,0.757857324394514,NA,NA
"2024","Lv","Total",153,11.6242330732199,1,NA,NA
"2025","Lv","Lv",6,2.77352127298379,0.167572646869303,4.93199776876303,0.001
"2025","Lv","Residual",147,13.7776362387012,0.832427353130697,NA,NA
"2025","Lv","Total",153,16.551157511685,1,NA,NA
