"Response","Response_label","Year","Factor_identity_effect","n","AIC_identity","AIC_identity_factor_number","DeltaAIC_identity","DeltaAIC_identity_factor_number","Best_model","R2_identity","R2_identity_factor_number","Adj_R2_identity","Adj_R2_identity_factor_number","ANOVA_F_added_factor_number","ANOVA_p_added_factor_number"
"biomass","Plant biomass","2022","dominative model",137,1514.48644453012,1494.55948592082,19.9269586093023,0,"Factor_identity_effect+Factor_number",0.237710465985302,0.350452701338982,0.232063876844453,0.340757965538072,23.2584441018165,3.79045634381444e-06
"biomass","Plant biomass","2023","dominative model",140,1712.73003803394,1714.73003788693,0,1.99999985299678,"Factor_identity_effect",0.368608007397779,0.368608008060756,0.36403270310356,0.359390606718577,1.43853243411819e-07,0.999697930150658
"biomass","Plant biomass","2024","dominative model",140,1845.54642250236,1847.07937584917,0,1.53295334680547,"Factor_identity_effect",0.353636326748829,0.355789033916619,0.348952532015125,0.346384494265766,0.457801710176047,0.4997939111876
"biomass","Plant biomass","2025","dominative model",140,1606.02757413825,1605.52158592219,0.505988216051719,0,"Factor_identity_effect+Factor_number",0.177476429166701,0.192068543427555,0.171516113436025,0.180273923623577,2.4743678903381,0.118022558070489
"evenness_all","Plant evenness","2022","dominative model",140,-367.438179735631,-417.418348804897,49.9801690692657,0,"Factor_identity_effect+Factor_number",0.00362762314647178,0.312656520024157,-0.00359246654087264,0.302622308637649,61.5950541550648,1.08349045531512e-12
"evenness_all","Plant evenness","2023","dominative model",140,-325.665037534421,-326.584163441239,0.919125906818238,0,"Factor_identity_effect+Factor_number",0.18619250228557,0.202985438186345,0.180295346505031,0.191350189108773,2.88656233980336,0.0915910448309006
"evenness_all","Plant evenness","2024","dominative model",140,-209.191893038109,-209.221752807407,0.0298597692979286,0,"Factor_identity_effect+Factor_number",0.0126132042450699,0.0268260388514347,0.00545822746423696,0.0126191197105798,2.00083275838357,0.159481529593
"evenness_all","Plant evenness","2025","dominative model",139,-150.236381330582,-169.452435564123,19.2160542335411,0,"Factor_identity_effect+Factor_number",0.0350897687267371,0.171678313889552,0.0280466283524796,0.159497112623222,22.426120737428,5.41964954009607e-06
"richness_all","Plant richness","2022","multiplicative model",140,554.747124222947,556.67531407506,0,1.92818985211295,"Factor_identity_effect",0.331940568053806,0.332283147662432,0.327099557677384,0.322535456387431,0.070289384216551,0.7913143956617
"richness_all","Plant richness","2023","multiplicative model",140,597.20699255124,552.179909678515,45.0270828727248,0,"Factor_identity_effect+Factor_number",0.105449057509089,0.360674242372044,0.0989668043026326,0.35134101963295,54.6917591056495,1.2724610416308e-11
"richness_all","Plant richness","2024","multiplicative model",140,607.646322920499,605.448812098846,2.19751082165294,0,"Factor_identity_effect+Factor_number",0.407144296525909,0.424655601081321,0.402848240703633,0.416256412775939,4.16976115279875,0.0430703710863431
"richness_all","Plant richness","2025","multiplicative model",140,686.759482987159,641.469892651776,45.2895903353834,0,"Factor_identity_effect+Factor_number",0.149521905416595,0.393311264786572,0.143359020673237,0.384454494929441,55.05152856009,1.11659007340619e-11
"shannon_all","Shannon diversity","2022","multiplicative model",140,-67.9444498998397,-69.7056879132721,1.76123801343239,0,"Factor_identity_effect+Factor_number",0.0464718786397672,0.0717482933993108,0.0395622545719394,0.0581971735949212,3.73052782713284,0.055491280339782
"shannon_all","Shannon diversity","2023","multiplicative model",140,-21.4007119169685,-19.4109532887241,0,1.98975862824442,"Factor_identity_effect",0.466454204965827,0.46649323382996,0.462587931088767,0.458704813885872,0.0100222803631382,0.920402283338255
"shannon_all","Shannon diversity","2024","multiplicative model",140,90.7284149297815,92.5754635923364,0,1.84704866255498,"Factor_identity_effect",0.24704325002241,0.247865413272512,0.241587041689239,0.236885346312987,0.14975559860115,0.699369489952957
"shannon_all","Shannon diversity","2025","multiplicative model",140,153.983083943766,115.253869741525,38.7292142022412,0,"Factor_identity_effect+Factor_number",0.129779057934464,0.349446084804356,0.123473109078917,0.339948947356244,46.2596288766087,2.93893904195166e-10
