"year","response","response_label","SampleNo","Amaranthus_retroflexus","Arenaria_serpyllifolia_agg.","Bellis_perennis","Brassica_napus","Bromus_hordeaceus","Capsella_bursa.pastoris","Cerastium_fontanum","Cerastium_glomeratum","Cerastium_holosteoides","Chenopodium_album","Cichorium_intybus","Cirsium_arvense","Convolvulus_arvensis","Crepis_capillaris","Dactylis_glomerata","Digitaria_sanguinalis","Echinocloa_crus.gali","Elymus_repens","Eragrostis_minor","Erigeron_canadensis","Erodium_spec.","Euphorbia_peplus","Festuca_arundinacea","Festuca_rubra","Galinsoga_parviflora","Geranium_molle","Geranium_pusillum","Hordeum_murinum","Hypericum_perforatum","Hypochaeris_radicata","Lamium_purpurea","Lolium_multiflorum_agg.","Lolium_perenne","Lotus_corniculatus","Matricaria_discoidea","Medicargo_x_varia","Persicaria_laxiflora","Phleum_pratense","Plantago_intermedia","Plantago_lanceolata","Poa_trivialis","Polygonum_aviculare","Portulaca_oleracea","Rumex_chrispus","Rumex_obtursifolia","Rumex_thyrsiflorus","Scorzoneroides_autumnalis","Silene_latifolia","Sonchus_oleraceus","Spergula_arvensis","Stellaria_media","Taraxacum_sec._ruderalia","Trifolium_hybridum","Trifolium_pratense","Trifolium_repens","Vicia_villosa","grass_sum","herb_sum","legume_sum","all_abundance","grass_prop","herb_prop","legume_prop","time","W","N","D","HM","MP","S","A","I","AF","SF","Lv","remark","richness_all","diversity_all","diversity_grass","diversity_herb","diversity_legume","shannon_all","evenness_all","simpson_all","shannon_grass","evenness_grass","simpson_grass","shannon_herb","evenness_herb","simpson_herb","shannon_legume","evenness_legume","simpson_legume","biomass","year.1",".__rowid","E1","E2","E3","E_RF"
"2022","richness_all","Plant richness",5,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,26,38,0,64,0.40625,0.59375,0,"1",1,1,1,1,1,1,1,1,1,1,10,"10",10,0.73046875,0.739644970414201,0.357340720221606,NA,1.70184354228956,0.739101259479039,0.73046875,1.44396501431179,0.897185907673786,0.739644970414201,0.74066218572546,0.460199290698508,0.357340720221606,NA,NA,NA,12.4,"2022",5,-7.09660714285714,-5.22751943386985,-2.06321428571429,-5.22751943386985
"2022","richness_all","Plant richness",10,0,0,0,0,0,0,0,0,0,1,30,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,0,56,0.357142857142857,0.642857142857143,0,"1",1,1,1,1,1,1,1,1,1,1,10,"10",7,0.672831632653061,0.75,0.285493827160494,NA,1.48478259679377,0.763027315271773,0.672831632653061,1.38629436111989,1,0.75,0.525654743677356,0.478471567357604,0.285493827160494,NA,NA,NA,4.4,"2022",10,-7.09660714285714,-5.22751943386985,-2.06321428571429,-5.22751943386985
"2022","richness_all","Plant richness",11,0,0,0,0,0,0,0,0,0,1,40,0,0,0,5,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,10,5,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,1,0,0,10,5,0,25,65,15,105,0.238095238095238,0.619047619047619,0.142857142857143,"1",1,0,0,0,0,0,0,0,1,0,2,"2",13,0.79092970521542,0.72,0.525443786982248,0.444444444444444,1.93291002878419,0.753586039880779,0.79092970521542,1.33217904021012,0.960964047443681,0.72,0.982543829347371,0.504927645207241,0.525443786982248,0.636514168294813,0.91829583405449,0.444444444444444,23.2,"2022",11,-1.97357142857143,-1.84738993970528,-1.37125,-1.84738993970528
"2022","richness_all","Plant richness",13,0,0,0,0,0,0,0,0,0,1,30,0,0,0,5,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,20,5,0,0,0,0,5,0,10,0,0,1,0,0,0,0,0,0,0,0,1,0,10,5,0,40,44,15,99,0.404040404040404,0.444444444444444,0.151515151515152,"1",0,0,1,0,0,0,1,0,0,0,2,"2",13,0.833792470156106,0.6875,0.481404958677686,0.444444444444444,2.08766311688532,0.813919819045248,0.833792470156106,1.38629436111989,0.861353116146786,0.6875,0.941876625286327,0.525671353472526,0.481404958677686,0.636514168294813,0.91829583405449,0.444444444444444,66.2,"2022",13,-3.31714285714286,-3.14960925493008,-2.38196428571429,-3.14960925493008
"2022","richness_all","Plant richness",14,0,0,0,0,0,0,0,0,0,5,30,0,0,0,10,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,30,20,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,75,50,0,125,0.6,0.4,0,"1",1,1,0,1,0,1,1,1,1,1,8,"8",10,0.8384,0.728888888888889,0.6,NA,2.02612063296996,0.879933010569178,0.8384,1.43682866896303,0.89275184700352,0.728888888888889,1.22752941145721,0.762706906537766,0.6,NA,NA,NA,132.4,"2022",14,-4.99232142857143,-4.75486586653968,-1.31446428571429,-4.75486586653968
"2022","richness_all","Plant richness",15,0,0,0,0,0,0,0,0,0,1,40,0,0,0,10,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,36,47,6,89,0.404494382022472,0.528089887640449,0.0674157303370786,"1",0,0,1,1,0,1,1,0,0,0,4,"4",11,0.750157808357531,0.748456790123457,0.263467632412857,0.277777777777778,1.78330716028393,0.743696849697191,0.750157808357531,1.44116498423411,0.895446151168707,0.748456790123457,0.539458926673294,0.389137359137422,0.263467632412857,0.450561208866305,0.650022421648354,0.277777777777778,41.2,"2022",15,-3.90678571428571,-3.27540937304258,-2.35464285714286,-3.27540937304258
"2022","richness_all","Plant richness",16,0,0,0,0,0,0,0,0,0,0,30,0,0,0,10,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,20,20,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,10,5,0,60,45,15,120,0.5,0.375,0.125,"1",0,0,0,1,0,1,0,1,0,1,4,"4",11,0.857638888888889,0.736111111111111,0.518518518518519,0.444444444444444,2.15249131257431,0.89765859960278,0.857638888888889,1.44518587894808,0.897944473522682,0.736111111111111,1.00271826451752,0.723308333814104,0.518518518518519,0.636514168294813,0.91829583405449,0.444444444444444,107.9,"2022",16,-2.64017857142857,-1.96559583609053,-1.12089285714286,-1.96559583609053
"2022","richness_all","Plant richness",18,0,0,0,0,0,0,0,0,0,5,50,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,10,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,30,65,10,105,0.285714285714286,0.619047619047619,0.0952380952380952,"1",0,0,1,1,0,0,0,0,0,0,2,"2",11,0.743764172335601,0.777777777777778,0.390532544378698,0.5,1.88203932862531,0.784871361971097,0.743764172335601,1.56071040904141,0.969723899868247,0.777777777777778,0.793730055158425,0.572555207190791,0.390532544378698,0.693147180559945,1,0.5,38.6,"2022",18,-3.19464285714286,-2.99992138636741,-2.46321428571429,-2.99992138636741
"2022","richness_all","Plant richness",20,0,0,0,0,0,0,0,0,0,0,50,0,0,0,20,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,20,0,0,0,0,0,5,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,50,61,5,116,0.431034482758621,0.525862068965517,0.0431034482758621,"1",1,0,0,1,1,0,1,1,1,0,6,"6",9,0.745392390011891,0.66,0.314431604407417,0,1.68750063055102,0.768014634442532,0.745392390011891,1.19354960409813,0.860964047443681,0.66,0.640455349488913,0.461990878309231,0.314431604407417,0,NA,0,86,"2022",20,-4.14089285714286,-3.5371329898182,-1.06910714285714,-3.5371329898182
"2022","richness_all","Plant richness",24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,20,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,11,0,71,0.845070422535211,0.154929577464789,0,"1",1,1,1,1,1,0,0,1,1,1,8,"8",8,0.801428288038088,0.75,0.165289256198347,NA,1.79727283308664,0.86430553447285,0.801428288038088,1.56071040904141,0.871049064255153,0.75,0.304636097349238,0.439496986921513,0.165289256198347,NA,NA,NA,44.8,"2022",24,-6.5625,-5.22082566217457,-1.86875,-5.22082566217457
"2022","richness_all","Plant richness",32,0,0,0,0,0,0,0,1,0,5,30,0,0,0,10,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,30,51,5,86,0.348837209302326,0.593023255813954,0.0581395348837209,"1",0,0,1,0,0,1,1,1,1,1,6,"6",11,0.827474310438075,0.722222222222222,0.615148019992311,0,2.07739438642863,0.866340748903638,0.827474310438075,1.32966134885476,0.959147917027245,0.722222222222222,1.29996916804694,0.725526606875981,0.615148019992311,0,NA,0,9.4,"2022",32,-5.54392857142857,-4.92529029695275,-2.17482142857143,-4.92529029695275
"2022","richness_all","Plant richness",33,0,0,0,0,0,0,0,0,0,5,40,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,5,0,25,60,10,95,0.263157894736842,0.631578947368421,0.105263157894737,"1",0,1,1,1,0,1,1,0,1,0,6,"6",11,0.786703601108033,0.72,0.527777777777778,0.5,1.99592178471599,0.832364034975859,0.786703601108033,1.33217904021012,0.960964047443681,0.72,1.09861228866811,0.682606194485985,0.527777777777778,0.693147180559945,1,0.5,12.5,"2022",33,-5.3825,-4.17463873012557,-2.22535714285714,-4.17463873012557
