"year","response","null_model","n","intercept","slope","slope_se","slope_t","slope_p","slope_ci_low","slope_ci_high","r_squared","adj_r_squared","model_p"
"2021","biomass","additive",60,-0.078883331629615,-0.0461798619560837,0.00851194427207294,-5.42530125668191,1.18083397825779e-06,-0.063218369629562,-0.0291413542826054,0.336641689755655,0.325204477510063,1.18083397825778e-06
"2022","biomass","additive",59,1.5910714985078,-0.252604329563337,0.160457181628352,-1.57427873903715,0.120957719276936,-0.573914293469296,0.0687056343426221,0.0416681599327835,0.0248553206333586,0.120957719276936
"2023","biomass","additive",60,0.0279093980824777,0.0415699952131007,0.0363678223587387,1.14304328708623,0.257716913353938,-0.0312281106626746,0.114368101088876,0.0220304165590426,0.00516887201695726,0.257716913353938
"2024","biomass","additive",60,-0.302011314396893,0.112598975012453,0.022343507184351,5.03944945094901,4.86971740380415e-06,0.067873586024413,0.157324364000493,0.304523422087643,0.292532446606395,4.86971740380419e-06
"2025","biomass","additive",60,-0.207718911025285,0.163816002680717,0.0453247213885781,3.61427489595113,0.000631156627273303,0.0730887154131889,0.254543289948246,0.183822610137014,0.16975058617386,0.0006311566272733
"2021","evenness_all","additive",60,0.00128738620257494,0.00613209136445093,0.00266823134545008,2.29818579071395,0.0251754774734864,0.000791046028519135,0.0114731367003827,0.0834626983792905,0.067660331109968,0.0251754774734864
"2022","evenness_all","additive",60,-0.0274123654765929,0.0186485354814849,0.00366654728567592,5.08612981873684,4.10964172557242e-06,0.0113091436733022,0.0259879272896676,0.308442976146556,0.296519579183566,4.10964172557248e-06
"2023","evenness_all","additive",60,0.0159653828746627,0.0301883017981932,0.00694180665895068,4.34876729954279,5.60587637588783e-05,0.0162927660374157,0.0440838375589706,0.245889222131543,0.232887312168293,5.60587637588783e-05
"2024","evenness_all","additive",60,-0.56217130137735,0.236988497659411,0.0218011095509884,10.8704787297703,1.28576145155164e-15,0.193348835497432,0.28062815982139,0.670767517994261,0.665091095890714,1.28576145155161e-15
"2025","evenness_all","additive",59,0.0665107407269216,-0.0308608914023251,0.0113899763751801,-2.70947808720429,0.00888471574644349,-0.0536689256757639,-0.00805285712888633,0.114098949761431,0.0985568260730354,0.00888471574644356
"2021","richness_all","additive",60,0.0161616498913372,-0.0105023410127877,0.00413055434399206,-2.54259843550139,0.0136946193710274,-0.0187705438623687,-0.00223413816320673,0.100284281062819,0.0847719410811433,0.0136946193710274
