"year","remark","Lv","Lv_numeric","value","response","response_label"
"2021","N",1,1,17,"richness_all","Plant richness"
"2021","I",1,1,17,"richness_all","Plant richness"
"2021","AF",1,1,16,"richness_all","Plant richness"
"2021","AF",1,1,14,"richness_all","Plant richness"
"2021","10",10,10,14,"richness_all","Plant richness"
"2021","N",1,1,16,"richness_all","Plant richness"
"2021","W",1,1,16,"richness_all","Plant richness"
"2021","D",1,1,14,"richness_all","Plant richness"
"2021","W",1,1,14,"richness_all","Plant richness"
"2021","10",10,10,14,"richness_all","Plant richness"
"2021","2",2,2,19,"richness_all","Plant richness"
"2021","MP",1,1,15,"richness_all","Plant richness"
"2021","2",2,2,14,"richness_all","Plant richness"
"2021","8",8,8,15,"richness_all","Plant richness"
"2021","4",4,4,14,"richness_all","Plant richness"
"2021","4",4,4,16,"richness_all","Plant richness"
"2021","MP",1,1,13,"richness_all","Plant richness"
"2021","2",2,2,13,"richness_all","Plant richness"
"2021","W",1,1,18,"richness_all","Plant richness"
"2021","6",6,6,12,"richness_all","Plant richness"
"2021","I",1,1,15,"richness_all","Plant richness"
"2021","S",1,1,16,"richness_all","Plant richness"
"2021","CT",0,0,15,"richness_all","Plant richness"
"2021","8",8,8,15,"richness_all","Plant richness"
"2021","N",1,1,14,"richness_all","Plant richness"
"2021","CT",0,0,12,"richness_all","Plant richness"
"2021","CT",0,0,13,"richness_all","Plant richness"
"2021","I",1,1,14,"richness_all","Plant richness"
"2021","W",1,1,13,"richness_all","Plant richness"
"2021","HM",1,1,14,"richness_all","Plant richness"
"2021","S",1,1,14,"richness_all","Plant richness"
"2021","6",6,6,12,"richness_all","Plant richness"
"2021","6",6,6,14,"richness_all","Plant richness"
"2021","10",10,10,16,"richness_all","Plant richness"
"2021","8",8,8,17,"richness_all","Plant richness"
"2021","HM",1,1,14,"richness_all","Plant richness"
"2021","4",4,4,15,"richness_all","Plant richness"
"2021","6",6,6,15,"richness_all","Plant richness"
"2021","I",1,1,15,"richness_all","Plant richness"
"2021","CT",0,0,13,"richness_all","Plant richness"
"2021","CT",0,0,14,"richness_all","Plant richness"
"2021","MP",1,1,13,"richness_all","Plant richness"
"2021","S",1,1,13,"richness_all","Plant richness"
"2021","MP",1,1,17,"richness_all","Plant richness"
"2021","W",1,1,16,"richness_all","Plant richness"
"2021","CT",0,0,14,"richness_all","Plant richness"
"2021","4",4,4,13,"richness_all","Plant richness"
"2021","CT",0,0,15,"richness_all","Plant richness"
"2021","10",10,10,14,"richness_all","Plant richness"
"2021","2",2,2,15,"richness_all","Plant richness"
"2021","8",8,8,14,"richness_all","Plant richness"
"2021","D",1,1,15,"richness_all","Plant richness"
"2021","SF",1,1,15,"richness_all","Plant richness"
"2021","2",2,2,14,"richness_all","Plant richness"
"2021","AF",1,1,14,"richness_all","Plant richness"
"2021","SF",1,1,15,"richness_all","Plant richness"
"2021","2",2,2,16,"richness_all","Plant richness"
"2021","6",6,6,13,"richness_all","Plant richness"
"2021","2",2,2,16,"richness_all","Plant richness"
"2021","SF",1,1,16,"richness_all","Plant richness"
"2021","4",4,4,12,"richness_all","Plant richness"
"2021","D",1,1,13,"richness_all","Plant richness"
"2021","AF",1,1,13,"richness_all","Plant richness"
"2021","10",10,10,13,"richness_all","Plant richness"
"2021","8",8,8,14,"richness_all","Plant richness"
"2021","SF",1,1,14,"richness_all","Plant richness"
"2021","10",10,10,16,"richness_all","Plant richness"
"2021","N",1,1,15,"richness_all","Plant richness"
"2021","HM",1,1,13,"richness_all","Plant richness"
"2021","AF",1,1,14,"richness_all","Plant richness"
"2021","I",1,1,12,"richness_all","Plant richness"
"2021","SF",1,1,15,"richness_all","Plant richness"
"2021","W",1,1,15,"richness_all","Plant richness"
"2021","W",1,1,16,"richness_all","Plant richness"
"2021","S",1,1,15,"richness_all","Plant richness"
"2021","4",4,4,13,"richness_all","Plant richness"
"2021","D",1,1,14,"richness_all","Plant richness"
"2021","2",2,2,15,"richness_all","Plant richness"
"2021","AF",1,1,19,"richness_all","Plant richness"
"2021","W",1,1,14,"richness_all","Plant richness"
"2021","2",2,2,13,"richness_all","Plant richness"
"2021","10",10,10,16,"richness_all","Plant richness"
"2021","A",1,1,14,"richness_all","Plant richness"
"2021","2",2,2,13,"richness_all","Plant richness"
"2021","8",8,8,14,"richness_all","Plant richness"
"2021","D",1,1,14,"richness_all","Plant richness"
