"response","response_label","year","n","n_factor_levels","spline_df","AIC_null","AIC_linear","AIC_spline","delta_AIC_spline_vs_linear","R2_linear","R2_spline","adj_R2_linear","adj_R2_spline","p_linear_slope","p_spline_model","p_spline_vs_linear"
"richness_all","Plant richness","2021",154,7,3,534.465324381968,535.599171008758,537.775550517141,2.17637950838298,0.0056085853815166,0.0173144165391406,-0.000933463398868017,-0.00233929513007669,0.35595938754043,0.452496644653556,0.411425688191257
"richness_all","Plant richness","2022",154,7,3,668.149662329359,618.217814822197,621.063676906625,2.8458620844284,0.286248052170473,0.291577201892494,0.281552315671594,0.277408745930344,8.80555606141104e-13,3.1860157376775e-11,0.570022096173962
"richness_all","Plant richness","2023",154,7,3,662.69761831225,616.829362972118,620.292241330648,3.46287835853036,0.267163623829796,0.269715160428512,0.262342331881308,0.255109463637082,6.76124071834593e-12,2.99959404527939e-10,0.769830271541468
"richness_all","Plant richness","2024",154,7,3,742.631736312561,684.769895585588,688.661602692816,3.89170710722794,0.322071362817065,0.322547915067576,0.317611305993493,0.308998873368927,1.66173623292996e-14,1.17009391516514e-12,0.948626580483468
"richness_all","Plant richness","2025",154,7,3,776.478294373031,732.607112402998,735.691581095896,3.08446869289867,0.257598307680256,0.261998798603829,0.252714086020258,0.247238774575905,1.84335887564498e-11,6.50750567022809e-10,0.640263392458762
"biomass","Plant biomass","2021",154,7,3,1922.57315625676,1924.44041049998,1925.75530337093,1.31489287095042,0.000861614030893496,0.0181313586408022,-0.00571166482416641,-0.00150601418638163,0.717819501598426,0.431166596134266,0.270446212995285
"biomass","Plant biomass","2022",151,7,3,1705.94696881724,1677.59091675782,1680.26506049373,2.67414373590805,0.18211493316852,0.189264940860034,0.176625771646161,0.172719327408198,4.6551757071421e-08,8.72837239649466e-07,0.524469962336152
"biomass","Plant biomass","2023",154,7,3,1953.088138516,1933.67859595968,1937.31233731378,3.63374135409686,0.129791989699806,0.131859148790767,0.124066937000462,0.114496331766583,4.44449395685106e-06,9.2085818286092e-05,0.836630538810947
"biomass","Plant biomass","2024",154,7,3,2093.0614171726,2068.80230405897,2071.07639265616,2.27408859719435,0.15676848086646,0.16616600101427,0.151220905082687,0.149489321034555,3.7204138441056e-07,4.9782890609371e-06,0.43147691573807
"biomass","Plant biomass","2025",154,7,3,1788.02428428962,1789.40338367565,1792.80026586994,3.39688219428785,0.00402370528592688,0.00791666836036927,-0.0025287703371919,-0.0119249982724232,0.434477328619342,0.753919166746041,0.745480573042698
"shannon_all","Shannon diversity","2021",154,7,3,-281.74798354038,-280.781719872485,-276.938296624671,3.84342324781375,0.00669009458845346,0.00769951147094662,0.000155161000219617,-0.0121464982996344,0.313240642074089,0.761831932581546,0.926579980301069
"shannon_all","Shannon diversity","2022",154,7,3,-74.6770733591267,-75.8206176319314,-72.3737683664438,3.44684926548759,0.0202056978833696,0.0237186962432647,0.0137596827378655,0.00419307016812986,0.0786516128972473,0.306446488933918,0.763844082237953
"shannon_all","Shannon diversity","2023",154,7,3,62.3762235494618,11.979446821243,14.1384783202883,2.15903149904534,0.288399634759138,0.296855704051244,0.28371805340887,0.282792818132269,6.97512526799413e-13,1.83388435910804e-11,0.40796431622048
"shannon_all","Shannon diversity","2024",154,7,3,145.681033879506,104.786254937701,107.682485749625,2.89623081192407,0.243110135526388,0.248515622167764,0.238130596944324,0.233485934611119,8.23202091844371e-11,2.46728144998663e-09,0.584177777320741
"shannon_all","Shannon diversity","2025",154,7,3,183.460622028407,126.693783204036,128.520132665322,1.82634946128587,0.317233839717468,0.326803128172157,0.312741957084031,0.3133391907356,2.87350385386053e-14,7.34038301351975e-13,0.346942561490832
"evenness_all","Plant evenness","2021",154,7,3,-608.717240840723,-606.839184912856,-603.276034142443,3.56315077041256,0.00079153119801426,0.00362195278087585,-0.00578220872831459,-0.0163056081635067,0.729072301069735,0.90865551064863,0.808357192535327
"evenness_all","Plant evenness","2022",154,7,3,-412.045680496654,-451.678049284236,-448.92267053325,2.75537875098598,0.236880054118209,0.243022700333366,0.23185952815846,0.227883154340033,1.553940756217e-10,4.21529691059555e-09,0.545448595335103
"evenness_all","Plant evenness","2023",154,7,3,-335.32245245783,-339.011016461255,-337.639381167051,1.37163529420377,0.0362648157983367,0.0525736070454801,0.0299244527443784,0.0336250791863897,0.0179984034567597,0.0434447333598228,0.278024025509598
"evenness_all","Plant evenness","2024",154,7,3,-227.047461024812,-225.063982235731,-224.42076730935,0.643214926381347,0.000107274836031657,0.0216664229395273,-0.00647096677688919,0.00209975139831786,0.898554454949541,0.348117546551664,0.19499177018985
"evenness_all","Plant evenness","2025",153,7,3,-171.84257252627,-190.159321889824,-187.075763719679,3.08355817014518,0.124350350490253,0.129579653750882,0.118551346188864,0.112054411880095,7.80267041086478e-06,0.000118841597378506,0.640029325128668
