"year","response","response_label","treatment","Respon_2.5","Respon_mean","Respon_97.5"
2021,"richness_all","Plant richness","CT",13.6428571428571,14.2155,14.7142857142857
2021,"richness_all","Plant richness","W",14.25,15.25225,16.25
2021,"richness_all","Plant richness","N",12.875,14.11925,15.375
2021,"richness_all","Plant richness","D",13.5,14.110625,14.625
2021,"richness_all","Plant richness","HM",12.625,13.26025,13.75
2021,"richness_all","Plant richness","MP",13,13.997375,15.125
2021,"richness_all","Plant richness","S",13.875,14.498625,15.125
2021,"richness_all","Plant richness","A",13.5,13.872,14.25
2021,"richness_all","Plant richness","I",13.75,14.60525,15.5
2021,"richness_all","Plant richness","AF",14,15.010125,16.25
2021,"richness_all","Plant richness","SF",13.5,14.384,15.125
2021,"richness_all","Plant richness","1",13.9875,14.3089125,14.6125
2021,"richness_all","Plant richness","2",13.8333333333333,14.6754166666667,15.66875
2021,"richness_all","Plant richness","4",13.1666666666667,13.75325,14.3333333333333
2021,"richness_all","Plant richness","6",13,13.578,14.1666666666667
2021,"richness_all","Plant richness","8",13.8333333333333,14.4165,15
2021,"richness_all","Plant richness","10",13.3333333333333,14.0763333333333,14.8333333333333
2021,"biomass","Plant biomass","CT",407.740300928571,477.401182939286,544.268995892857
2021,"biomass","Plant biomass","W",523.23471334375,617.5122861675,702.35187328125
2021,"biomass","Plant biomass","N",483.411372202812,531.20656066325,590.503586625
2021,"biomass","Plant biomass","D",480.3036,530.64156509375,576.52080140625
2021,"biomass","Plant biomass","HM",378.50931235,463.62592615495,555.1793136075
2021,"biomass","Plant biomass","MP",425.34575240625,544.19841648125,646.54200653125
2021,"biomass","Plant biomass","S",511.204999554688,576.72728922375,642.153066203125
2021,"biomass","Plant biomass","A",440.10012156875,517.407944384963,591.018670410312
2021,"biomass","Plant biomass","I",455.932677225,509.6348700127,575.00055151
2021,"biomass","Plant biomass","AF",491.42860902375,561.0657801376,644.33023741625
2021,"biomass","Plant biomass","SF",485.69284,544.910919595313,610.104007320312
2021,"biomass","Plant biomass","1",512.479888028094,539.68910547542,565.74738408925
2021,"biomass","Plant biomass","2",446.167272291667,503.180581017708,565.4005708125
2021,"biomass","Plant biomass","4",421.764841854167,479.609628799942,532.503298797083
2021,"biomass","Plant biomass","6",497.615307510417,565.484418669375,638.778111109375
2021,"biomass","Plant biomass","8",428.58661146875,485.282710858125,539.74917371875
2021,"biomass","Plant biomass","10",446.353475895833,524.913124044167,611.134145875
2021,"shannon_all","Shannon diversity","CT",1.81238544884716,1.86489208326808,1.92280638129234
2021,"shannon_all","Shannon diversity","W",1.80842505128636,1.86959726917717,1.9219024204501
2021,"shannon_all","Shannon diversity","N",1.79573251470878,1.87338099411565,1.95297890826876
2021,"shannon_all","Shannon diversity","D",1.83502403666859,1.92037979169925,1.99675487229939
2021,"shannon_all","Shannon diversity","HM",1.73215042990824,1.78339023534912,1.83393031614312
2021,"shannon_all","Shannon diversity","MP",1.77375125647982,1.8394693359502,1.91412471983232
2021,"shannon_all","Shannon diversity","S",1.78609561498821,1.86346232187214,1.93624546368557
2021,"shannon_all","Shannon diversity","A",1.76781821121573,1.82324983166643,1.88494164139395
2021,"shannon_all","Shannon diversity","I",1.77362517970176,1.8558859268172,1.93766398551002
2021,"shannon_all","Shannon diversity","AF",1.79453113808915,1.84055512047493,1.88478880796658
2021,"shannon_all","Shannon diversity","SF",1.82089765844191,1.86854676022911,1.90979322352356
2021,"shannon_all","Shannon diversity","1",1.83191522265797,1.85375230610986,1.87701420927898
2021,"shannon_all","Shannon diversity","2",1.81754110205026,1.87388931896583,1.92805150060349
2021,"shannon_all","Shannon diversity","4",1.78340457254533,1.8365721265118,1.87971716614225
2021,"shannon_all","Shannon diversity","6",1.78100854718299,1.81569458080768,1.84760133380472
2021,"shannon_all","Shannon diversity","8",1.82466582320098,1.86890536178646,1.91266306723329
2021,"shannon_all","Shannon diversity","10",1.78383968348185,1.82762046594532,1.8712850494579
2021,"evenness_all","Plant evenness","CT",0.685165963851006,0.702724783219248,0.721497014667556
2021,"evenness_all","Plant evenness","W",0.675565301380489,0.687505182085997,0.698483621827517
2021,"evenness_all","Plant evenness","N",0.690757298057031,0.710674099990787,0.73858007843288
2021,"evenness_all","Plant evenness","D",0.699991456562349,0.725974981034625,0.748286964416413
2021,"evenness_all","Plant evenness","HM",0.6692629686069,0.691398321659572,0.707558336607003
2021,"evenness_all","Plant evenness","MP",0.676709724871576,0.699501270848449,0.719254370023752
2021,"evenness_all","Plant evenness","S",0.673616845213569,0.697878904027195,0.720037519587726
2021,"evenness_all","Plant evenness","A",0.671958844170237,0.694085189068528,0.714964044988073
2021,"evenness_all","Plant evenness","I",0.668126499749388,0.691288296662652,0.714932787067759
2021,"evenness_all","Plant evenness","AF",0.665403251111275,0.681423953932147,0.698126407108207
2021,"evenness_all","Plant evenness","SF",0.688356698484488,0.70202121424399,0.714779833689501
2021,"evenness_all","Plant evenness","1",0.690750603258706,0.69806915386049,0.705009795619635
2021,"evenness_all","Plant evenness","2",0.678594112594796,0.700247715849789,0.720250721502118
2021,"evenness_all","Plant evenness","4",0.685784125835861,0.701592996241252,0.715892796765832
2021,"evenness_all","Plant evenness","6",0.678385739535594,0.697717157287101,0.717390494307609
2021,"evenness_all","Plant evenness","8",0.682077667356726,0.701439776379626,0.7198836175929
2021,"evenness_all","Plant evenness","10",0.672024461288143,0.692615059899011,0.712917346292051
2022,"richness_all","Plant richness","CT",11.5,12.2217142857143,13.0714285714286
2022,"richness_all","Plant richness","W",10.125,11.216375,12.5
2022,"richness_all","Plant richness","N",10.75,12.044875,13.753125
2022,"richness_all","Plant richness","D",9,9.901875,10.75
2022,"richness_all","Plant richness","HM",10,11.357125,13
2022,"richness_all","Plant richness","MP",12,13.10825,14.253125
2022,"richness_all","Plant richness","S",11.5,12.622125,13.875
2022,"richness_all","Plant richness","A",10.125,11.263,12.375
2022,"richness_all","Plant richness","I",10.125,11.004375,12.003125
2022,"richness_all","Plant richness","AF",10.246875,11.124,12.125
2022,"richness_all","Plant richness","SF",10.75,11.366875,12
2022,"richness_all","Plant richness","1",11.1,11.48675,11.9128125
2022,"richness_all","Plant richness","2",11.4166666666667,12.0855,12.8333333333333
2022,"richness_all","Plant richness","4",10.4166666666667,11.32475,12.41875
2022,"richness_all","Plant richness","6",8.25,9.40291666666667,10.5833333333333
2022,"richness_all","Plant richness","8",8.5,9.16341666666667,9.75
2022,"richness_all","Plant richness","10",7.41666666666667,8.31408333333333,9.25
2022,"biomass","Plant biomass","CT",94.3311071428571,122.234792857143,153.610892857143
2022,"biomass","Plant biomass","W",27.1285714285714,49.0319857142857,76.1814285714286
2022,"biomass","Plant biomass","N",117.7725,169.3943,219.2125
