"year","response","response_label","treatment","ES_mean","ES_2.5","ES_97.5","p_value","p_adj","stars","p_adjust_method"
2021,"biomass_jun","Biomass June","W",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","N",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","D",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","HM",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","MP",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","S",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","A",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","I",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","AF",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","SF",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","1",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","2",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","4",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","6",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","8",0,0,0,0,0,"***","BH"
2021,"biomass_jun","Biomass June","10",0,0,0,0,0,"***","BH"
2021,"biomass","Biomass June+October","W",139.547103063036,26.7735772678571,255.163317486607,0.016,0.256,"","BH"
2021,"biomass","Biomass June+October","N",53.6371522147375,-27.0265171267857,149.307437517857,0.216,0.456,"","BH"
2021,"biomass","Biomass June+October","D",51.4317176508928,-28.7211734419643,134.131163473214,0.228,0.456,"","BH"
2021,"biomass","Biomass June+October","HM",-17.6068033119429,-120.395689967679,91.6169367817857,0.75,0.857142857142857,"","BH"
2021,"biomass","Biomass June+October","MP",60.2527746953572,-66.4470027901785,189.664801816964,0.414,0.648,"","BH"
2021,"biomass","Biomass June+October","S",94.5300778934821,0.825346599330351,200.21615118192,0.048,0.3136,"","BH"
2021,"biomass","Biomass June+October","A",38.5690023697411,-68.7768045808483,138.133660939687,0.446,0.648,"","BH"
2021,"biomass","Biomass June+October","I",30.7504861409857,-52.9503279130357,119.680375323571,0.486,0.648,"","BH"
2021,"biomass","Biomass June+October","AF",83.5430101969429,-11.8218604507143,187.023457930357,0.0980000000000001,0.3136,"","BH"
2021,"biomass","Biomass June+October","SF",67.9480756923214,-23.1686266383928,158.437643626116,0.134,0.357333333333333,"","BH"
2021,"biomass","Biomass June+October","1",60.9152349703875,-9.05821320663392,142.027192881196,0.0900000000000001,0.3136,"","BH"
2021,"biomass","Biomass June+October","2",26.8159585703274,-64.8446235699405,127.864777275298,0.59,0.726153846153846,"","BH"
2021,"biomass","Biomass June+October","4",-0.857790437520219,-87.4137497529762,87.0790833552381,0.996,0.996,"","BH"
2021,"biomass","Biomass June+October","6",85.4974984482738,-7.9463941703868,182.792679874256,0.0780000000000001,0.3136,"","BH"
2021,"biomass","Biomass June+October","8",4.99254976958334,-84.3450168645833,93.0087435014881,0.926,0.987733333333333,"","BH"
2021,"biomass","Biomass June+October","10",45.1720865665476,-59.4535844999999,150.871941839286,0.404,0.648,"","BH"
2022,"biomass_jun","Biomass June","W",311.876464285714,-180.59193452381,807.27494047619,0.262,0.658285714285714,"","BH"
2022,"biomass_jun","Biomass June","N",-14.7079050000001,-263.376729166667,217.767625,0.918,0.954,"","BH"
2022,"biomass_jun","Biomass June","D",6.01632499999994,-272.7903125,272.979791666667,0.94,0.954,"","BH"
2022,"biomass_jun","Biomass June","HM",-38.8027125,-346.0615625,312.803541666667,0.814,0.954,"","BH"
2022,"biomass_jun","Biomass June","MP",335.822588095238,62.3719642857142,634.049761904762,0.02,0.16,"","BH"
2022,"biomass_jun","Biomass June","S",-17.4600041666667,-331.554583333333,265.5921875,0.954,0.954,"","BH"
2022,"biomass_jun","Biomass June","A",-48.4991988095238,-270.860654761905,168.159553571429,0.668,0.954,"","BH"
2022,"biomass_jun","Biomass June","I",-161.62989047619,-397.920744047619,88.3064285714287,0.184,0.5952,"","BH"
2022,"biomass_jun","Biomass June","AF",15.8117333333332,-264.72375,292.085,0.904,0.954,"","BH"
2022,"biomass_jun","Biomass June","SF",6.44020833333328,-243.170625,238.629583333333,0.936,0.954,"","BH"
2022,"biomass_jun","Biomass June","1",32.3704831578947,-143.921140350877,207.016837719298,0.7,0.954,"","BH"
2022,"biomass_jun","Biomass June","2",-175.841933333333,-449.073958333334,75.4187499999998,0.186,0.5952,"","BH"
2022,"biomass_jun","Biomass June","4",-176.765305555556,-506.790763888889,142.032291666667,0.288,0.658285714285714,"","BH"
2022,"biomass_jun","Biomass June","6",63.5493383333333,-268.167833333333,402.606875,0.712,0.954,"","BH"
2022,"biomass_jun","Biomass June","8",-242.900161363636,-493.235246212121,17.4869696969695,0.064,0.341333333333333,"","BH"
2022,"biomass_jun","Biomass June","10",-415.175150757576,-648.097840909091,-178.217367424242,0,0,"***","BH"
2022,"biomass","Biomass June+October","W",99.5444966666667,-422.316333333333,650.195083333333,0.752,0.989866666666667,"","BH"
2022,"biomass","Biomass June+October","N",38.4557383333333,-164.744333333333,238.512166666667,0.698,0.989866666666667,"","BH"
2022,"biomass","Biomass June+October","D",-65.7877416666667,-342.096354166667,196.120208333333,0.67,0.989866666666667,"","BH"
2022,"biomass","Biomass June+October","HM",-81.3090116666666,-410.061791666667,258.311791666667,0.636,0.989866666666667,"","BH"
2022,"biomass","Biomass June+October","MP",265.032928333333,1.16729166666663,516.957291666667,0.048,0.256,"","BH"
2022,"biomass","Biomass June+October","S",-24.0675499999999,-337.632270833333,255.572916666667,0.928,0.989866666666667,"","BH"
2022,"biomass","Biomass June+October","A",-31.2185964285714,-246.978279761905,164.024404761905,0.782,0.989866666666667,"","BH"
2022,"biomass","Biomass June+October","I",-159.622647857143,-379.104089285714,69.9369107142858,0.162,0.496,"","BH"
2022,"biomass","Biomass June+October","AF",19.0969791666666,-229.431916666667,309.660604166667,0.908,0.989866666666667,"","BH"
2022,"biomass","Biomass June+October","SF",33.3952441666667,-207.949791666667,244.103708333333,0.764,0.989866666666667,"","BH"
2022,"biomass","Biomass June+October","1",1.09273815315317,-174.442629504504,169.513204954955,0.992,0.992,"","BH"
2022,"biomass","Biomass June+October","2",-204.637216666667,-459.867666666667,35.4104583333332,0.116,0.464,"","BH"
