"response","response_label","year","n","n_factor_levels","spline_df","AIC_null","AIC_linear","AIC_spline","delta_AIC_spline_vs_linear","R2_linear","R2_spline","adj_R2_linear","adj_R2_spline","p_linear_slope","p_spline_model","p_spline_vs_linear"
"biomass_jun","Biomass June","2021",154,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"biomass_jun","Biomass June","2022",143,7,3,2134.33990343112,2125.1895967649,2128.65659110175,3.46699433684762,0.0750116836209555,0.0784529865878425,0.0684514827955723,0.0585634827012491,0.000933164198882668,0.00976209018102964,0.771785816732325
"biomass_jun","Biomass June","2023",154,7,3,2134.35638558959,2124.48366199144,2124.66504077321,0.181378781769126,0.0741986644355374,0.0968727799134291,0.0681078661752449,0.0788102355116977,0.000631654892609593,0.00155225598577012,0.155716516657017
"biomass_jun","Biomass June","2024",154,7,3,2093.32235415254,2069.06195061643,2071.33873044934,2.27677983290141,0.15677554658297,0.166158416267426,0.151228017284174,0.149481584592774,3.71796751196963e-07,4.98158100582746e-06,0.432042808948433
"biomass_jun","Biomass June","2025",154,7,3,2006.27277967878,2007.21897221681,2009.79664211189,2.57766989508445,0.0068195462310941,0.0159502412464585,0.000285464298404037,-0.00373075392861244,0.308588389778033,0.489954193183983,0.500227025348246
"biomass","Biomass June+October","2021",154,7,3,1922.57315625676,1924.44041049998,1925.75530337093,1.31489287095042,0.000861614030893496,0.0181313586408022,-0.00571166482416641,-0.00150601418638163,0.717819501598426,0.431166596134266,0.270446212995285
"biomass","Biomass June+October","2022",140,7,3,2082.60412131969,2066.60329303905,2070.08770005804,3.48440701899017,0.120654453071639,0.123886957015985,0.114282383890999,0.104560934008984,2.61334081647885e-05,0.000429001964179429,0.778465288406821
"biomass","Biomass June+October","2023",154,7,3,2235.86843210595,2218.97909113681,2220.22424509912,1.24515396231209,0.115433919065309,0.131116885811297,0.10961440537495,0.113739223527523,1.62628535783207e-05,9.7929476316104e-05,0.261415078043483
"biomass","Biomass June+October","2024",154,7,3,2306.67934862696,2282.41923747668,2284.69465316438,2.27541568770266,0.156773945627696,0.166164219348094,0.151226405796299,0.149487503735056,3.71852166418399e-07,4.97906215040138e-06,0.43175587385538
"biomass","Biomass June+October","2025",154,7,3,2069.44743916497,2070.11820829505,2073.33462822631,3.21641993126241,0.00859422596010756,0.0136258674265003,0.00207181955195035,-0.00610161522496977,0.252818277677027,0.559073728475924,0.682758772566772
