"year","response","response_label","treatment","Respon_2.5","Respon_mean","Respon_97.5"
2021,"biomass_jun","Biomass June","CT",0,0,0
2021,"biomass_jun","Biomass June","W",0,0,0
2021,"biomass_jun","Biomass June","N",0,0,0
2021,"biomass_jun","Biomass June","D",0,0,0
2021,"biomass_jun","Biomass June","HM",0,0,0
2021,"biomass_jun","Biomass June","MP",0,0,0
2021,"biomass_jun","Biomass June","S",0,0,0
2021,"biomass_jun","Biomass June","A",0,0,0
2021,"biomass_jun","Biomass June","I",0,0,0
2021,"biomass_jun","Biomass June","AF",0,0,0
2021,"biomass_jun","Biomass June","SF",0,0,0
2021,"biomass_jun","Biomass June","1",0,0,0
2021,"biomass_jun","Biomass June","2",0,0,0
2021,"biomass_jun","Biomass June","4",0,0,0
2021,"biomass_jun","Biomass June","6",0,0,0
2021,"biomass_jun","Biomass June","8",0,0,0
2021,"biomass_jun","Biomass June","10",0,0,0
2021,"biomass","Biomass June+October","CT",404.639606803571,476.988794028571,543.194315607143
2021,"biomass","Biomass June+October","W",529.63596303125,618.0710044725,711.25718171875
2021,"biomass","Biomass June+October","N",485.2197106,531.461704622425,585.339538763125
2021,"biomass","Biomass June+October","D",481.2720375,530.19013421875,578.36467328125
2021,"biomass","Biomass June+October","HM",378.1583821675,462.68199712475,559.89992116125
2021,"biomass","Biomass June+October","MP",428.43778334375,543.52593702375,652.47748846875
2021,"biomass","Biomass June+October","S",505.91425375,575.37203229875,646.91837184375
2021,"biomass","Biomass June+October","A",440.285657720937,514.89479650945,593.523194127187
2021,"biomass","Biomass June+October","I",457.08871556125,508.92392382005,570.9082479125
2021,"biomass","Biomass June+October","AF",487.09914803375,561.81493643855,643.85009196875
2021,"biomass","Biomass June+October","SF",492.764821539062,547.67340209,607.547903015625
2021,"biomass","Biomass June+October","1",514.875654510656,539.03159784461,563.814388316562
2021,"biomass","Biomass June+October","2",441.428160796875,502.87487169,578.689967604167
2021,"biomass","Biomass June+October","4",420.791151336042,477.695176515408,528.731325049792
2021,"biomass","Biomass June+October","6",492.872694088542,564.102796179375,636.359693083333
2021,"biomass","Biomass June+October","8",427.589827864583,483.593593086667,537.274540458333
2021,"biomass","Biomass June+October","10",442.577550291667,524.764259420833,609.069582145833
2022,"biomass_jun","Biomass June","CT",1335.79104166667,1488.89995833333,1658.20979166667
2022,"biomass_jun","Biomass June","W",1241.72178571429,1793.11902857143,2267.15714285714
2022,"biomass_jun","Biomass June","N",1286.535625,1472.447635,1652.484625
2022,"biomass_jun","Biomass June","D",1251.2271875,1495.1164625,1725.4596875
2022,"biomass_jun","Biomass June","HM",1182.4015625,1449.335275,1732.7725
2022,"biomass_jun","Biomass June","MP",1578.01214285714,1821.40861428571,2051.86535714286
2022,"biomass_jun","Biomass June","S",1211.5496875,1471.994975,1690.6665625
2022,"biomass_jun","Biomass June","A",1307.06607142857,1439.94405714286,1593.24928571429
2022,"biomass_jun","Biomass June","I",1157.38107142857,1333.66321428571,1522.3
2022,"biomass_jun","Biomass June","AF",1295.2153125,1517.9217,1750.001875
2022,"biomass_jun","Biomass June","SF",1265.3996875,1487.1242375,1674.295
2022,"biomass_jun","Biomass June","1",1440.71948026316,1523.68721842105,1613.62811842105
2022,"biomass_jun","Biomass June","2",1081.11291666667,1310.6857,1506.34729166667
2022,"biomass_jun","Biomass June","4",976.518333333333,1298.90156666667,1569.25527777778
2022,"biomass_jun","Biomass June","6",1227.00291666667,1538.21125,1837.94145833333
2022,"biomass_jun","Biomass June","8",1074.75795454545,1242.66214545455,1450.83886363636
2022,"biomass_jun","Biomass June","10",932.086590909091,1072.23343636364,1255.70181818182
2022,"biomass","Biomass June+October","CT",1474.12129166667,1610.21625833333,1743.985
2022,"biomass","Biomass June+October","W",1190.23333333333,1714.96988333333,2220.78333333333
2022,"biomass","Biomass June+October","N",1484.2371875,1642.66138,1777.8511875
2022,"biomass","Biomass June+October","D",1323.723125,1548.2387625,1788.4628125
2022,"biomass","Biomass June+October","HM",1263.6875,1522.945875,1818.9071875
2022,"biomass","Biomass June+October","MP",1669.7325,1873.33458333333,2086.5675
2022,"biomass","Biomass June+October","S",1314.0725,1576.484925,1804.6765625
2022,"biomass","Biomass June+October","A",1432.65714285714,1576.87668571429,1739.87214285714
2022,"biomass","Biomass June+October","I",1288.09714285714,1448.37077142857,1628.38571428571
2022,"biomass","Biomass June+October","AF",1403.1365625,1630.3018125,1866.366875
2022,"biomass","Biomass June+October","SF",1452.4753125,1641.6485375,1804.8428125
2022,"biomass","Biomass June+October","1",1530.90124324324,1616.64815216216,1704.0257027027
2022,"biomass","Biomass June+October","2",1197.535,1415.0978,1609.92895833333
2022,"biomass","Biomass June+October","4",1081.82027777778,1390.66476666667,1669.00277777778
2022,"biomass","Biomass June+October","6",1234.788,1563.24845454545,1906.12972727273
2022,"biomass","Biomass June+October","8",1130.60527272727,1303.70567272727,1521.19177272727
2022,"biomass","Biomass June+October","10",937.750909090909,1083.17743636364,1254.90386363636
2023,"biomass_jun","Biomass June","CT",662.80875,774.785571428571,890.315892857143
2023,"biomass_jun","Biomass June","W",325.6,386.0916125,460.4915625
2023,"biomass_jun","Biomass June","N",494.281875,681.0199375,860.75625
2023,"biomass_jun","Biomass June","D",457.4,545.1803125,624.025
2023,"biomass_jun","Biomass June","HM",574.660625,740.2027625,907.2809375
2023,"biomass_jun","Biomass June","MP",518.9753125,638.9737375,789.16375
2023,"biomass_jun","Biomass June","S",297.561875,475.74995,672.5646875
2023,"biomass_jun","Biomass June","A",625.68375,804.7242125,990.20375
2023,"biomass_jun","Biomass June","I",507.3446875,671.598875,823.67375
2023,"biomass_jun","Biomass June","AF",539.816875,735.825475,935.3265625
2023,"biomass_jun","Biomass June","SF",515.2778125,703.3646125,915.0121875
2023,"biomass_jun","Biomass June","1",577.37721875,637.1289975,696.7144375
2023,"biomass_jun","Biomass June","2",514.940416666667,620.667241666667,728.427708333333
2023,"biomass_jun","Biomass June","4",435.39875,557.33915,677.929791666667
2023,"biomass_jun","Biomass June","6",352.07625,466.1092,595.76
2023,"biomass_jun","Biomass June","8",477.130208333333,550.4133,642.755208333333
2023,"biomass_jun","Biomass June","10",413.804791666667,481.679958333333,555.336458333333
2023,"biomass","Biomass June+October","CT",1075.23339285714,1222.81182142857,1374.66928571429
2023,"biomass","Biomass June+October","W",553.113125,609.273025,688.4334375
2023,"biomass","Biomass June+October","N",940.895,1176.99555,1410.775
2023,"biomass","Biomass June+October","D",804.774375,894.583875,976.4546875
2023,"biomass","Biomass June+October","HM",1001.9625,1209.505875,1395.5084375
2023,"biomass","Biomass June+October","MP",926.16375,1101.8621625,1304.1934375
2023,"biomass","Biomass June+October","S",609.6403125,830.312625,1081.6778125
2023,"biomass","Biomass June+October","A",1165.5778125,1339.9059625,1549.8146875
2023,"biomass","Biomass June+October","I",821.7125,1085.5066,1347.5184375
2023,"biomass","Biomass June+October","AF",981.49,1192.04405,1429.2515625
2023,"biomass","Biomass June+October","SF",923.0171875,1125.3233625,1381.4465625
2023,"biomass","Biomass June+October","1",980.56875,1058.7583625,1139.49153125
2023,"biomass","Biomass June+October","2",852.074375,985.860508333333,1113.33479166667
2023,"biomass","Biomass June+October","4",753.7825,920.158491666667,1087.75375
2023,"biomass","Biomass June+October","6",602.496041666667,790.914333333333,1010.0925
2023,"biomass","Biomass June+October","8",801.109791666667,895.44495,1002.48291666667
2023,"biomass","Biomass June+October","10",673.513333333333,743.3891,810.695625
2024,"biomass_jun","Biomass June","CT",747.196428571429,829.743307142857,925.633035714286
2024,"biomass_jun","Biomass June","W",479.891875,553.0122625,635.9853125
2024,"biomass_jun","Biomass June","N",749.8340625,855.2604,988.189375
2024,"biomass_jun","Biomass June","D",619.76,682.3846,762.7684375
2024,"biomass_jun","Biomass June","HM",757.2990625,842.300475,941.958125
2024,"biomass_jun","Biomass June","MP",670.48625,824.1118375,997.7928125
