"","Order","Latitude","Biome","Elevation","pH","Clay_silt_c","NDVI_2001_2020_Normalized","Plant_cover_v3","ORC","ORC_stock","POM_C_g_kg","MAOM_C_g_kg","Aromatic_Prop","Alkanes_Prop","Polysaccharide_Prop","Amide_Prop","Soil_respiration","Seasonality","MAXT...19","Aridity...20","Human_influence","Extreme_events","Fire","Aridity_2016_2019...24","MAXT_mean_2016_2019...25","Extreme_events_2016_2019","Population_density_2016_2019...27","Fire_2016_2019","Seasonality_2016_2019","MAXT_anomaly","Seasonality_anomaly","MINP_anomaly","Human_influence1","Extreme_events1","Fire1","Aridity...36","MAXT...37","PSEA","MDR","TSEA","SPEI_1_Extreme_dry_events","SPEI_1_extreme_wet_events","Heatwave_day","Frost","nfertilize","nmanure_gl","hii_v2geo","fire_n","Aridity_2016_2019...49","MAXT_mean_2016_2019...50","TSEA_2016_2019","MDR_2016_2019","PSEA_2016_2019","SPEI_1_Extreme_dry_events_2016_2019","SPEI_1_extreme_wet_events_2016_2019","Frost_2016_2019","Heatwave_day_2016_2019","Fire_Count_2016_2019","Population_density_2016_2019...59","MAXT_difference","PSEA_difference","MDR_difference","TSEA_difference","MINP","MINP_2016_2019","MINP_difference"
"1",1,41.73527778,"Continental",530,6.4,80.8,0.474211522,48.8,75,8.925,NA,NA,16.93746504,12.64340557,6.721110111,10.17135699,NA,0.611959465,0.629807692,0.685964722,0.207097477,0.426250857,0,0.969466804,0.52118039,0.296094959,0.019614418,0,0.525621377,0.280045004,0.320702378,0.128674904,0.207097477,0.426250857,0,-0.8727,26.2,98.3302,12.2333,1339.09,65,22,9.976976209,51.3046815,6.708,15.45,28,0,-0.11132,30.77,1278.898587,12.34583333,105.49457,7,3,34.61776221,10.12775603,0,102.16659,4.57,7.16437,0.11253333,-60.191413,10,0.575,9.425
"2",2,41.73527778,"Continental",530,5.12,80.8,0.474211522,48.8,67,7.973,NA,NA,16.91409315,12.6415148,7.331127362,9.56629905,NA,0.611959465,0.629807692,0.685964722,0.207097477,0.426250857,0,0.969466804,0.52118039,0.296094959,0.019614418,0,0.525621377,0.280045004,0.320702378,0.128674904,0.207097477,0.426250857,0,-0.8727,26.2,98.3302,12.2333,1339.09,65,22,9.976976209,51.3046815,6.708,15.45,28,0,-0.11132,30.77,1278.898587,12.34583333,105.49457,7,3,34.61776221,10.12775603,0,102.16659,4.57,7.16437,0.11253333,-60.191413,10,0.575,9.425
"3",3,41.73527778,"Continental",530,5.03,80.8,0.474211522,48.8,78.713,9.366847,20.59210242,49.94552867,17.24178444,12.70552822,6.877307983,9.625719361,0.170411234,0.611959465,0.629807692,0.685964722,0.207097477,0.426250857,0,0.969466804,0.52118039,0.296094959,0.019614418,0,0.525621377,0.280045004,0.320702378,0.128674904,0.207097477,0.426250857,0,-0.8727,26.2,98.3302,12.2333,1339.09,65,22,9.976976209,51.3046815,6.708,15.45,28,0,-0.11132,30.77,1278.898587,12.34583333,105.49457,7,3,34.61776221,10.12775603,0,102.16659,4.57,7.16437,0.11253333,-60.191413,10,0.575,9.425
"4",4,42.27527778,"Continental",621,5.25,75.52,0.451351522,73.79,72.383,8.179279,NA,NA,16.68011081,13.50921871,7.820391252,9.499449504,NA,0.621705413,0.615384615,0.711863795,0.133604196,0.461939736,0,0.970278345,0.515706806,0.259779612,0.013242366,0,0.501836224,0.285261328,0.295536127,0.117596932,0.133604196,0.461939736,0,-0.8009,25.6,96.3761,12.875,1338.98,58,31,10.04140787,55.56685308,6.371,17.113,14,0,-0.10837,30.425,1231.292439,11.84416667,101.06043,4,5,34.54895655,9.903262413,0,68.97617,4.825,4.68433,-1.03083333,-107.687561,8,0.525,7.475
"5",5,42.27527778,"Continental",621,4.78,75.52,0.451351522,73.79,82.587,9.332331,NA,NA,16.71144577,14.2233434,8.595106611,9.079407847,NA,0.621705413,0.615384615,0.711863795,0.133604196,0.461939736,0,0.970278345,0.515706806,0.259779612,0.013242366,0,0.501836224,0.285261328,0.295536127,0.117596932,0.133604196,0.461939736,0,-0.8009,25.6,96.3761,12.875,1338.98,58,31,10.04140787,55.56685308,6.371,17.113,14,0,-0.10837,30.425,1231.292439,11.84416667,101.06043,4,5,34.54895655,9.903262413,0,68.97617,4.825,4.68433,-1.03083333,-107.687561,8,0.525,7.475
"6",6,42.27527778,"Continental",621,4.47,75.52,0.451351522,73.79,124.23,14.03799,53.7376122,59.81035231,16.39181241,14.87203352,7.635875912,9.087531054,0.191434089,0.621705413,0.615384615,0.711863795,0.133604196,0.461939736,0,0.970278345,0.515706806,0.259779612,0.013242366,0,0.501836224,0.285261328,0.295536127,0.117596932,0.133604196,0.461939736,0,-0.8009,25.6,96.3761,12.875,1338.98,58,31,10.04140787,55.56685308,6.371,17.113,14,0,-0.10837,30.425,1231.292439,11.84416667,101.06043,4,5,34.54895655,9.903262413,0,68.97617,4.825,4.68433,-1.03083333,-107.687561,8,0.525,7.475
"7",7,42.84055556,"Continental",360,6.79,67.26,0.541040217,31.84,77.96,9.43316,NA,NA,16.69269218,11.77733591,9.041920537,10.147032,NA,0.602967552,0.610576923,0.789380659,0.200919365,0.402108653,0,0.976129692,0.523639537,0.269773493,0.024001148,0,0.469245077,0.299580648,0.289208742,0.091038205,0.200919365,0.402108653,0,-0.586,25.4,97.6752,12.6333,1258.02,20,38,10.01615509,52.19399538,17.493,17.388,18,0,-0.0871,30.925,1157.108783,10.27125,111.12929,4,5,33.57389725,10.03778338,0,125.01597,5.525,13.45409,-2.36205,-100.911217,3,0.2,2.8
"8",8,42.84055556,"Continental",360,6.01,67.26,0.541040217,31.84,30.084,3.640164,NA,NA,17.483785,9.417438735,8.661054307,8.781890561,NA,0.602967552,0.610576923,0.789380659,0.200919365,0.402108653,0,0.976129692,0.523639537,0.269773493,0.024001148,0,0.469245077,0.299580648,0.289208742,0.091038205,0.200919365,0.402108653,0,-0.586,25.4,97.6752,12.6333,1258.02,20,38,10.01615509,52.19399538,17.493,17.388,18,0,-0.0871,30.925,1157.108783,10.27125,111.12929,4,5,33.57389725,10.03778338,0,125.01597,5.525,13.45409,-2.36205,-100.911217,3,0.2,2.8
"9",9,42.84055556,"Continental",360,6.15,67.26,0.541040217,31.84,82.934,10.035014,24.70673402,47.74325641,16.5382543,11.86282189,8.815550951,10.1226352,0.275403699,0.602967552,0.610576923,0.789380659,0.200919365,0.402108653,0,0.976129692,0.523639537,0.269773493,0.024001148,0,0.469245077,0.299580648,0.289208742,0.091038205,0.200919365,0.402108653,0,-0.586,25.4,97.6752,12.6333,1258.02,20,38,10.01615509,52.19399538,17.493,17.388,18,0,-0.0871,30.925,1157.108783,10.27125,111.12929,4,5,33.57389725,10.03778338,0,125.01597,5.525,13.45409,-2.36205,-100.911217,3,0.2,2.8
"10",10,43.33888889,"Continental",504,5.77,69.94,0.382292174,47.89,53.376,5.764608,NA,NA,17.14995989,11.64479483,7.248506938,9.95751087,NA,0.624115014,0.600961538,0.772282942,0.286600234,0.420946514,0,0.973596034,0.577185467,0.29529721,0.058980097,0,0.510824926,0.3768027,0.304018262,0.095298963,0.286600234,0.420946514,0,-0.6334,25,101.391,12.6417,1328.38,32,30,10.03882418,56.87597302,16.246,14.21,36,0,-0.09631,34.3,1272.895205,11.47416667,108.9752,4,6,35.75964977,10.11166044,0,307.21255,9.3,7.5842,-1.16753333,-55.484795,4,0.45,3.55
