"","SampleNo","Amaranthus_retroflexus","Arenaria_serpyllifolia_agg.","Bellis_perennis","Brassica_napus","Bromus_hordeaceus","Capsella_bursa.pastoris","Cerastium_fontanum","Cerastium_glomeratum","Cerastium_holosteoides","Chenopodium_album","Cichorium_intybus","Cirsium_arvense","Convolvulus_arvensis","Crepis_capillaris","Dactylis_glomerata","Digitaria_sanguinalis","Echinocloa_crus.gali","Elymus_repens","Eragrostis_minor","Erigeron_canadensis","Erodium_spec.","Euphorbia_peplus","Festuca_arundinacea","Festuca_rubra","Galinsoga_parviflora","Geranium_molle","Geranium_pusillum","Hordeum_murinum","Hypericum_perforatum","Hypochaeris_radicata","Lamium_purpurea","Lolium_multiflorum_agg.","Lolium_perenne","Lotus_corniculatus","Matricaria_discoidea","Medicargo_x_varia","Persicaria_laxiflora","Phleum_pratense","Plantago_intermedia","Plantago_lanceolata","Poa_trivialis","Polygonum_aviculare","Portulaca_oleracea","Rumex_chrispus","Rumex_obtursifolia","Rumex_thyrsiflorus","Scorzoneroides_autumnalis","Silene_latifolia","Sonchus_oleraceus","Spergula_arvensis","Stellaria_media","Taraxacum_sec._ruderalia","Trifolium_hybridum","Trifolium_pratense","Trifolium_repens","Vicia_villosa","grass_sum","herb_sum","legume_sum","all_abundance","grass_prop","herb_prop","legume_prop","time","W","N","D","HM","MP","S","A","I","AF","SF","Lv","remark","richness_all","diversity_all","diversity_grass","diversity_herb","diversity_legume"
"1",1,0,0,0,0,0,5,0,0,0,1,50,0,0,0,1,1,5,0,1,0,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,1,0,10,0,0,0,0,0,0,0,0,0,0,50,30,0,28,81,80,189,0.148148148148148,0.428571428571429,0.423280423280423,0,0,1,0,0,0,0,0,0,0,0,1,"N",17,0.822205425380029,0.744897959183674,0.580704160951075,0.46875
"2",2,0,0,0,0,0,1,0,0,0,5,20,0,0,0,0,1,5,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,5,0,20,1,0,1,0,0,0,0,0,0,1,0,0,0,60,50,0,31,53,110,194,0.15979381443299,0.27319587628866,0.56701030927835,0,0,0,0,0,0,0,0,1,0,0,1,"I",17,0.809331491125518,0.767950052029136,0.696333214667141,0.495867768595041
"3",3,0,0,0,10,0,0,0,0,0,1,60,0,0,0,1,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,1,0,1,0,0,0,0,0,0,0,0,0,0,50,50,0,23,97,100,220,0.104545454545455,0.440909090909091,0.454545454545455,0,0,0,0,0,0,0,0,0,1,0,1,"AF",16,0.807809917355372,0.669187145557656,0.561377404612605,0.5
"4",4,0,0,0,0,0,0,0,0,0,1,60,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,10,0,0,0,0,1,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,50,30,0,27,81,80,188,0.143617021276596,0.430851063829787,0.425531914893617,0,0,0,0,0,0,0,0,0,1,0,1,"AF",14,0.790629244001811,0.65843621399177,0.428288370675202,0.46875
"5",5,0,0,0,0,0,0,0,0,0,1,60,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,50,30,0,22,76,80,178,0.123595505617978,0.426966292134831,0.449438202247191,0,1,1,1,1,1,1,1,1,1,1,10,"10",14,0.771177881580609,0.640495867768595,0.363573407202216,0.46875
"6",6,0,0,0,0,0,0,0,0,0,1,60,0,0,0,1,1,5,0,0,1,0,0,5,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,60,40,0,30,79,100,209,0.143540669856459,0.37799043062201,0.478468899521531,0,0,1,0,0,0,0,0,0,0,0,1,"N",16,0.790503880405668,0.753333333333333,0.402499599423169,0.48
"7",7,0,0,0,0,1,0,0,0,0,5,70,0,0,0,1,0,10,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,1,0,0,50,40,0,32,102,90,224,0.142857142857143,0.455357142857143,0.401785714285714,0,1,0,0,0,0,0,0,0,0,0,1,"W",16,0.806162308673469,0.732421875,0.48558246828143,0.493827160493827
"8",8,0,0,0,0,0,0,0,0,0,10,90,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,40,30,0,22,111,70,203,0.108374384236453,0.54679802955665,0.344827586206897,0,0,0,1,0,0,0,0,0,0,0,1,"D",14,0.73488800990075,0.640495867768595,0.33033033033033,0.489795918367347
"9",9,0,0,0,0,0,0,0,0,0,10,80,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,40,30,0,22,110,70,202,0.108910891089109,0.544554455445545,0.346534653465347,0,1,0,0,0,0,0,0,0,0,0,1,"W",14,0.771492990883247,0.640495867768595,0.450413223140496,0.489795918367347
"10",10,5,0,0,0,0,0,0,0,0,5,90,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,0,22,125,70,217,0.101382488479263,0.576036866359447,0.32258064516129,0,1,1,1,1,1,1,1,1,1,1,10,"10",14,0.761111936970418,0.640495867768595,0.4512,0.489795918367347
"11",11,20,0,0,0,0,0,0,0,0,5,10,0,0,0,1,1,1,0,5,1,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,5,0,0,0,0,0,0,1,1,0,0,70,70,0,27,68,140,235,0.114893617021277,0.28936170212766,0.595744680851064,0,1,0,0,0,0,0,0,0,1,0,2,"2",19,0.801231326392033,0.727023319615912,0.788494809688581,0.5
"12",12,0,0,0,0,0,0,0,1,0,0,30,0,0,0,1,0,5,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,10,0,0,0,0,0,0,0,1,0,0,60,60,0,26,57,120,203,0.12807881773399,0.280788177339901,0.591133004926108,0,0,0,0,0,1,0,0,0,0,0,1,"MP",15,0.793127714819578,0.707100591715976,0.65312403816559,0.5
"13",13,0,0,0,0,0,0,0,0,0,5,70,0,0,0,1,0,1,0,5,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,50,30,0,26,105,80,211,0.123222748815166,0.497630331753554,0.37914691943128,0,0,0,1,0,0,0,1,0,0,0,2,"2",14,0.798454661844972,0.707100591715976,0.512471655328798,0.46875
"14",14,0,0,0,10,0,0,0,0,0,0,50,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,5,0,0,0,0,0,0,5,0,0,0,50,40,0,22,95,90,207,0.106280193236715,0.458937198067633,0.434782608695652,0,1,1,0,1,0,1,1,1,1,1,8,"8",15,0.828490746575183,0.640495867768595,0.659279778393352,0.493827160493827
"15",15,0,0,0,0,0,1,0,0,0,10,50,0,0,0,1,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,60,50,0,21,91,110,222,0.0945945945945946,0.40990990990991,0.495495495495495,0,0,0,1,1,0,1,1,0,0,0,4,"4",14,0.810810810810811,0.607709750566893,0.63156623596184,0.495867768595041
"16",16,0,0,0,0,0,0,0,0,0,1,30,0,0,0,1,5,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,5,0,0,0,0,0,0,1,0,0,0,60,50,0,27,52,110,189,0.142857142857143,0.275132275132275,0.582010582010582,0,0,0,0,1,0,1,0,1,0,1,4,"4",16,0.794210688390583,0.727023319615912,0.61094674556213,0.495867768595041
"17",17,0,0,0,0,0,0,0,0,0,1,80,0,0,0,0,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,50,30,0,21,107,80,208,0.100961538461538,0.514423076923077,0.384615384615385,0,0,0,0,0,1,0,0,0,0,0,1,"MP",13,0.759615384615385,0.607709750566893,0.403703380207879,0.46875
"18",18,0,0,0,0,0,0,0,0,0,5,70,0,0,0,0,0,5,0,0,0,1,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,40,30,0,24,106,70,200,0.12,0.53,0.35,0,0,0,1,1,0,0,0,0,0,0,2,"2",13,0.7982,0.659722222222222,0.521537913848345,0.489795918367347
"19",19,0,0,0,0,0,1,0,0,0,1,60,0,0,0,1,5,1,0,0,1,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,5,0,10,0,0,1,0,0,0,0,0,1,0,0,0,1,60,30,0,30,85,91,206,0.145631067961165,0.412621359223301,0.441747572815534,0,1,0,0,0,0,0,0,0,0,0,1,"W",18,0.799038552172684,0.753333333333333,0.473356401384083,0.456466610312764
"20",20,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,0,5,0,1,0,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,50,20,0,25,85,70,180,0.138888888888889,0.472222222222222,0.388888888888889,0,1,0,0,1,1,0,1,1,1,0,6,"6",12,0.786358024691358,0.6848,0.470588235294118,0.408163265306122
"21",21,0,0,0,0,0,0,0,0,0,5,80,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,50,30,0,22,97,80,199,0.110552763819095,0.487437185929648,0.402010050251256,0,0,0,0,0,0,0,0,1,0,0,1,"I",15,0.746193277947527,0.640495867768595,0.311616537357849,0.46875
"22",22,0,0,0,0,0,0,0,0,0,5,60,0,0,0,1,1,5,0,5,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,5,0,0,0,0,60,30,0,31,86,90,207,0.14975845410628,0.415458937198068,0.434782608695652,0,0,0,0,0,0,1,0,0,0,0,1,"S",16,0.801652313939649,0.767950052029136,0.489453758788534,0.444444444444444
